concept_id,canonical_label,aliases,parent,category,tags,visual_description
5082cf0a-9cf1-5150-be82-6fbeae20c158,apple,red apple|green apple,food,food,fruit,round red or green apple fruit
4eded310-9f09-56bd-92bb-17680837e426,banana,,food,food,fruit,curved yellow banana fruit
300e5a78-f449-59a5-b260-f5bf1cf64028,orange,orange fruit,food,food,fruit,round orange citrus fruit
99537eca-122a-5982-92dc-aef5638affd8,grape,grape cluster|green grape|red grape,food,food,fruit,small cluster of round grapes
5bd8e91e-bd88-54cd-ab80-6c51ec196046,strawberry,,food,food,fruit,heart-shaped red strawberry fruit
284681e7-de21-5b0c-9376-3fb0d39805a0,blueberry,blueberries,food,food,fruit,small round dark blue blueberry
6718d0be-5f0d-5750-afce-00bafde0c89f,watermelon,,food,food,fruit,large oval green-striped watermelon
13234c3b-1d4e-5c0a-82c2-3b9f8a66c890,pineapple,,food,food,fruit,tall spiky-crowned yellow pineapple
b10ff7b8-9b0d-53cd-93e2-9cefbd80c8fc,mango,,food,food,fruit,oval yellow-orange mango fruit
cb0fea7e-c998-5f2a-81aa-176dc7d202e4,lemon,yellow lemon,food,food,fruit,oval bright yellow lemon fruit
991ad14b-4ac5-51ea-bd94-11cca116d14a,pear,green pear|yellow pear,food,food,fruit,bell-shaped green or yellow pear
f6200cc2-02e0-5432-bf44-166693d5c425,peach,,food,food,fruit,round fuzzy yellow-pink peach fruit
7a985cf2-ed3c-5faf-baf9-6821977f5c69,cherry,red cherry,food,food,fruit,small round dark red cherry fruit
932210f7-8dbf-55c2-a222-2db8c77d65b8,kiwi,kiwi fruit|kiwifruit,food,food,fruit,oval brown-skin kiwi fruit
29699ae4-4c8f-5a0a-992a-695ec3769efa,avocado,,food,food,fruit,dark pear-shaped avocado fruit
c4ca1549-5c41-513e-8952-e8841622e47b,lime,green lime,food,food,fruit,small round bright green lime fruit
778ba802-82bb-5ff4-a9d4-a781f464be72,melon,honeydew melon|cantaloupe,food,food,fruit,round pale green or orange melon
fe5a1fda-e013-57eb-a620-b238d1bc81a4,raspberry,,food,food,fruit,small bumpy red raspberry fruit
9311775a-996b-5b76-8ec5-808e436a0dda,fig,dried fig,food,food,fruit,small pear-shaped purple fig fruit
5484b568-4711-57dc-a62f-7cd20d67be22,apricot,,food,food,fruit,small round orange apricot fruit
9784ddc8-0edb-5a28-940d-a14f42ca96ad,tomato,red tomato,food,food,vegetable,round red garden tomato
dcead29f-823a-52b8-94bf-475cec6d21b8,carrot,,food,food,vegetable,long tapered orange carrot
52692698-e9b0-52da-908d-38b62bfc8ac2,broccoli,,food,food,vegetable,green tree-shaped broccoli floret
b20a5f4f-b6f7-5388-b0be-4e57d440a133,potato,white potato|russet potato,food,food,vegetable,oval rough-skinned brown potato
394f0588-0b3b-5240-83c1-e559a643db81,onion,white onion|brown onion,food,food,vegetable,round paper-skinned onion
bcc248ad-08d1-5860-a321-aeeb722c7154,garlic,garlic bulb|garlic clove,food,food,vegetable,white papery garlic bulb
b9c2bfaf-62c6-5646-b8f1-9a563762d3d1,bell pepper,capsicum|sweet pepper,food,food,vegetable,blocky red green or yellow pepper
6b8f93c1-cd2c-5734-99f3-65540ce15960,lettuce,iceberg lettuce|romaine lettuce,food,food,vegetable,leafy green head of lettuce
8c697bce-6756-571d-bd6f-fad4f582dec8,cucumber,,food,food,vegetable,long dark green cylindrical cucumber
94a36e7e-e4c1-52a0-b414-3a50946b58a9,eggplant,aubergine,food,food,vegetable,long shiny purple eggplant
aa7498a2-a7fe-5a0d-a0a2-0dc553122b86,corn,sweet corn|corn cob,food,food,vegetable,yellow-kernel corn cob
0939c5d5-915e-5490-83dd-975ad8cea317,mushroom,button mushroom,food,food,vegetable,round brown mushroom with stem
f75b4f9e-316a-52c7-8914-b4c10a9675a4,zucchini,courgette,food,food,vegetable,long smooth green zucchini
d3bd7f34-bad4-50fa-b0a6-2f50a2963b67,cauliflower,,food,food,vegetable,round white cauliflower head
